Frame,Rz,Ry,Rx,Tx,Ty,Tz,Tz
2217142,9.2019229,7.1079495,104.6801791,-0.816,-41.249,-99.202,-3.70E+28
2217150,9.2202975,7.1128155,104.7531812,-0.859,-41.22,-99.347,-3.70E+28
2217158,9.2507932,7.1376808,104.7430742,-0.898,-41.217,-99.3,-3.70E+28
2217166,9.2190115,7.1087364,104.777284,-0.892,-41.195,-99.283,-3.70E+28
2217174,9.240244,7.1014127,104.9624579,-0.876,-41.137,-99.407,-3.70E+28
2217182,9.3343468,7.1361119,105.2550808,-0.845,-41.066,-99.707,-3.70E+28
2217190,9.4251558,7.1542739,105.6513919,-0.811,-40.941,-100.176,-3.70E+28
2217198,9.4994382,7.155851,106.073851,-0.815,-40.812,-100.771,-3.70E+28
2217206,9.6451228,7.2521573,106.1777043,-0.771,-40.865,-100.963,-3.70E+28
2217214,9.5607086,7.1891989,106.1727805,-0.737,-40.848,-100.781,-3.70E+28
2217222,9.5431132,7.178095,106.1562239,-0.733,-40.845,-100.738,-3.70E+28
2217230,9.5433992,7.1798736,106.1442101,-0.717,-40.854,-100.72,-3.70E+28
2217238,9.5721722,7.2002237,106.1544842,-0.724,-40.864,-100.792,-3.70E+28
2217246,9.5807652,7.2046866,106.1699053,-0.736,-40.859,-100.829,-3.70E+28
2217254,9.5788882,7.2031662,106.1707176,-0.733,-40.851,-100.815,-3.70E+28
2217262,9.5485862,7.1890686,106.1036275,-0.724,-40.86,-100.701,-3.70E+28
2217270,9.5744039,7.2024767,106.15011,-0.735,-40.855,-100.793,-3.70E+28
2217278,9.568795,7.1970653,106.1591833,-0.739,-40.851,-100.791,-3.70E+28
2217286,9.5681594,7.1964491,106.1602346,-0.726,-40.85,-100.772,-3.70E+28
2217294,9.6275378,7.207187,106.4198552,-0.703,-40.783,-101.01,-3.70E+28
2217302,9.7305146,7.2368923,106.7803783,-0.687,-40.664,-101.324,-3.70E+28
2217310,9.7895902,7.2354411,107.1247382,-0.719,-40.522,-101.823,-3.70E+28
2217318,9.864638,7.2681256,107.2974266,-0.651,-40.497,-102.039,-3.70E+28
2217326,9.8833809,7.2719251,107.3731001,-0.618,-40.496,-102.057,-3.70E+28
2217334,9.8837362,7.2711947,107.3805828,-0.647,-40.495,-102.085,-3.70E+28
2217342,9.866834,7.2612446,107.3616061,-0.637,-40.497,-102.034,-3.70E+28
2217350,9.8641069,7.2621742,107.3393938,-0.625,-40.509,-101.996,-3.70E+28
2217358,9.8693652,7.2664509,107.3364009,-0.618,-40.516,-101.998,-3.70E+28
2217366,9.8791745,7.2718856,107.3500029,-0.627,-40.514,-102.028,-3.70E+28
2217374,9.8395031,7.2521283,107.2780321,-0.621,-40.511,-101.9,-3.70E+28
2217382,9.8657075,7.2643289,107.3320438,-0.637,-40.498,-102.001,-3.70E+28
2217390,9.8664587,7.2619927,107.3538668,-0.64,-40.489,-102.014,-3.70E+28
2217398,9.8843929,7.2510976,107.5359137,-0.657,-40.384,-102.172,-3.70E+28
2217406,9.9841535,7.2711612,107.9354974,-0.626,-40.269,-102.592,-3.70E+28
2217414,10.0862061,7.3046079,108.2415847,-0.587,-40.194,-102.936,-3.70E+28
2217422,10.1474911,7.334056,108.3533754,-0.522,-40.18,-103.123,-3.70E+28
2217430,10.1557575,7.3440357,108.3237378,-0.535,-40.208,-103.079,-3.70E+28
2217438,10.1445175,7.3379029,108.3087537,-0.55,-40.215,-103.032,-3.70E+28
2217446,10.1099697,7.31346,108.3042117,-0.549,-40.205,-102.971,-3.70E+28
2217454,10.1074785,7.3119181,108.3022381,-0.533,-40.204,-102.969,-3.70E+28
2217462,10.1312269,7.3288661,108.3042821,-0.535,-40.213,-103.005,-3.70E+28
2217470,10.097501,7.3190833,108.1947761,-0.53,-40.229,-102.852,-3.70E+28
2217478,10.0701014,7.2831287,108.3148435,-0.631,-40.156,-102.952,-3.70E+28
2217486,10.1005425,7.3079664,108.2941881,-0.639,-40.145,-102.915,-3.70E+28
2217494,10.1563523,7.3324478,108.4130407,-0.575,-40.138,-103.139,-3.70E+28
2217502,10.2526856,7.3588941,108.7324092,-0.502,-40.057,-103.404,-3.70E+28
2217510,10.3566885,7.3884152,109.0648504,-0.517,-39.951,-103.815,-3.70E+28
2217518,10.3287218,7.345245,109.2357516,-0.477,-39.871,-103.881,-3.70E+28
